date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:10	74006/74006	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2009:40:23%20GMT	https://thegenius.co/html/finlon_new1/index.html	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/index.html	(from )
19:00:11	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Oct%202022%2013:30:11%20GMT	https://thegenius.co/robots.txt		(from )
19:00:12	13334/13334	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202022%2013:57:38%20GMT	https://thegenius.co/html/finlon_new1/assets/images/favicons/apple-touch-icon.png	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/images/favicons/apple-touch-icon.png	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:12	1258/1258	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202022%2013:57:39%20GMT	https://thegenius.co/html/finlon_new1/assets/images/favicons/favicon-32x32.png	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/images/favicons/favicon-32x32.png	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:12	576/576	---M--	200	added ('OK')	image/png	date:Tue,%2031%20May%202022%2013:57:38%20GMT	https://thegenius.co/html/finlon_new1/assets/images/favicons/favicon-16x16.png	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/images/favicons/favicon-16x16.png	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:13	263/263	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2031%20May%202022%2013:57:40%20GMT	https://thegenius.co/html/finlon_new1/assets/images/favicons/site.webmanifest	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/images/favicons/site.webmanifest	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:13	302/302	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20May%202022%2012:12:28%20GMT	https://thegenius.co/html/finlon_new1/assets/vendors/reey-font/stylesheet.css	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/vendors/reey-font/stylesheet.css	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:14	163873/163873	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20May%202022%2012:12:34%20GMT	https://thegenius.co/html/finlon_new1/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:14	83884/83884	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20May%202022%2012:12:00%20GMT	https://thegenius.co/html/finlon_new1/assets/vendors/animate/animate.min.css	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/vendors/animate/animate.min.css	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:14	59344/59344	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20May%202022%2012:12:42%20GMT	https://thegenius.co/html/finlon_new1/assets/vendors/fontawesome/css/all.min.css	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/vendors/fontawesome/css/all.min.css	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:15	2556/2556	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20May%202022%2012:12:07%20GMT	https://thegenius.co/html/finlon_new1/assets/vendors/finlon-icons/style.css	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/vendors/finlon-icons/style.css	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:16	321/321	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20May%202022%2012:12:10%20GMT	https://thegenius.co/html/finlon_new1/assets/vendors/jarallax/jarallax.css	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/vendors/jarallax/jarallax.css	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:16	6951/6951	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20May%202022%2012:12:16%20GMT	https://thegenius.co/html/finlon_new1/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://thegenius.co/html/finlon_new1/index.html)
19:00:17	4039/4039	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20May%202022%2012:12:20%20GMT	https://thegenius.co/html/finlon_new1/assets/vendors/nouislider/nouislider.min.css	C:/Users/dell/Desktop/barath/finance7/thegenius.co/html/finlon_new1/assets/vendors/nouislider/nouislider.min.css	(from https://thegenius.co/html/finlon_new1/index.html)
